match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,cricsheet_id
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,5.4,India,Pakistan,RG Sharma,Shubman Gill,Naseem Shah,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,5.5,India,Pakistan,RG Sharma,Shubman Gill,Naseem Shah,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,5.6,India,Pakistan,RG Sharma,Shubman Gill,Naseem Shah,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,6.1,India,Pakistan,Shubman Gill,RG Sharma,Faheem Ashraf,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,6.2,India,Pakistan,Shubman Gill,RG Sharma,Faheem Ashraf,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,6.3,India,Pakistan,Shubman Gill,RG Sharma,Faheem Ashraf,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,6.4,India,Pakistan,Shubman Gill,RG Sharma,Faheem Ashraf,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,6.5,India,Pakistan,Shubman Gill,RG Sharma,Faheem Ashraf,1,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,6.6,India,Pakistan,RG Sharma,Shubman Gill,Faheem Ashraf,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,7.1,India,Pakistan,Shubman Gill,RG Sharma,Naseem Shah,4,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,7.2,India,Pakistan,Shubman Gill,RG Sharma,Naseem Shah,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,7.3,India,Pakistan,Shubman Gill,RG Sharma,Naseem Shah,4,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,7.4,India,Pakistan,Shubman Gill,RG Sharma,Naseem Shah,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,7.5,India,Pakistan,Shubman Gill,RG Sharma,Naseem Shah,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,7.6,India,Pakistan,Shubman Gill,RG Sharma,Naseem Shah,1,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,8.1,India,Pakistan,Shubman Gill,RG Sharma,Faheem Ashraf,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,8.2,India,Pakistan,Shubman Gill,RG Sharma,Faheem Ashraf,4,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,8.3,India,Pakistan,Shubman Gill,RG Sharma,Faheem Ashraf,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,8.4,India,Pakistan,Shubman Gill,RG Sharma,Faheem Ashraf,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,8.5,India,Pakistan,Shubman Gill,RG Sharma,Faheem Ashraf,2,0,,,,,,,,,,1388406
